,Model Name,Accuracy_Scores,Best Parameters,Precision,Recall,Accuracy
0,LR,0.9362637362637363,"{'solver': 'lbfgs', 'fit_intercept': True}",0.9166666666666666,0.9166666666666666,0.9298245614035088
1,RFC,0.9208791208791208,"{'n_estimators': 80, 'min_samples_split': 6, 'min_samples_leaf': 8, 'max_depth': 8, 'criterion': 'gini', 'bootstrap': True}",0.9565217391304348,0.9166666666666666,0.9473684210526315
2,DTC,0.8813186813186814,"{'splitter': 'best', 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_leaf_nodes': 8, 'max_features': 6, 'max_depth': 6}",0.86,0.8958333333333334,0.8947368421052632
3,BC,0.8989010989010989,"{'n_estimators': 80, 'max_samples': 8, 'max_features': 5, 'bootstrap': False}",1.0,0.7083333333333334,0.8771929824561403
4,SVC,0.9428571428571428,"{'kernel': 'linear', 'degree': 3, 'C': 1}",0.9148936170212766,0.8958333333333334,0.9210526315789473
5,KNN,0.9230769230769231,"{'weights': 'distance', 'n_neighbors': 4}",0.9333333333333333,0.875,0.9210526315789473
